State_UT,Region,Best_Season,Popular_Art_Form,Popular_Attractions,Hidden_Gems,Image_URL,Map_Highlight_Color
Odisha,East,Oct–Feb,Pattachitra Painting,"Jagannath Temple Puri, Konark Sun Temple, Chilika Lake, Bhubaneswar Temples","Ratnagiri Buddhist Excavations, Simlipal National Park, Gopalpur Beach",https://images.unsplash.com/photo-1623395811361-01304d9d9f8e,#FFC107
Punjab,North,Oct–Mar,Phulkari Embroidery,"Golden Temple Amritsar, Jallianwala Bagh, Wagah Border, Anandpur Sahib","Kapurthala Palace, Harike Wetland, Virasat-e-Khalsa Museum",https://images.unsplash.com/photo-1588096344356-9b47c8891ceb,#CDDC39
Haryana,North,Oct–Mar,Pottery and Ceramics,"Kurukshetra Battlefield, Surajkund Crafts Mela, Panipat Museum, Sultanpur Bird Sanctuary","Morni Hills, Pinjore Gardens, Kalesar National Park",https://images.unsplash.com/photo-1623395797095-d9bb1862a606,#8BC34A
Himachal Pradesh,North,"Mar–Jun, Sep–Nov",Himachali Wood Carving,"Shimla Mall Road, Manali Valley, Dharamshala Dalai Lama Temple, Kullu Valley","Spiti Valley, Tirthan Valley, Chitkul Village",https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,#607D8B
Uttarakhand,North,"Apr–Jun, Sep–Nov",Aipan Floor Art,"Char Dham Yatra, Rishikesh Yoga Capital, Jim Corbett National Park, Mussoorie Hills","Valley of Flowers, Chopta Meadows, Munsiyari Views",https://images.unsplash.com/photo-1626714100233-843a486558ba,#795548
Bihar,East,Oct–Mar,Madhubani Painting,"Bodh Gaya Buddha Temple, Nalanda University Ruins, Patna Museum, Vaishali Archaeological Site","Rajgir Hot Springs, Vikramshila University, Kesaria Stupa",https://www.godigit.com/content/dam/godigit/directportal/en/contenthm/best-tourist-places-to-visit-in-bihar.jpg,#FF7043
Jharkhand,East,Oct–Feb,Sohrai and Khovar Art,"Betla National Park, Hundru Falls, Deoghar Baidyanath Temple, Ranchi Rock Garden","Netarhat Hill Station, McCluskieganj Anglo-Indian Colony, Parasnath Hills",https://images.unsplash.com/photo-1623395797095-d9bb1862a606,#8D6E63
Assam,North-East,Oct–Apr,Assamese Silk Weaving,"Kaziranga National Park, Kamakhya Temple, Majuli River Island, Tea Gardens","Haflong Hill Station, Sivasagar Ahom Palaces, Pobitora Wildlife Sanctuary",https://static.wixstatic.com/media/e58556_8f92b9a19d1e4771bc5580c8e6538b0f~mv2.jpg/v1/fill/w_568,h_378,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/e58556_8f92b9a19d1e4771bc5580c8e6538b0f~mv2.jpg,#4CAF50
Arunachal Pradesh,North-East,Oct–Apr,Monpa Handicrafts,"Tawang Monastery, Sela Pass, Ziro Valley, Namdapha National Park","Mechuka Valley, Bhalukpong, Roing",https://lp-cms-production.imgix.net/2019-06/GettyImages-548700815_full.jpg?sharp=10&vib=20&w=1200&w=600&h=400,#009688
Manipur,North-East,Oct–Mar,Manipuri Dance Costumes,"Loktak Lake, Kangla Fort, Imphal War Cemetery, Keibul Lamjao National Park","Dzukou Valley, Moreh Border Town, Shirui Kashong Peak",https://images.unsplash.com/photo-1623395797095-d9bb1862a606,#FF5252
Mizoram,North-East,Oct–Mar,Bamboo and Cane Work,"Aizawl City, Champhai Hills, Vantawng Falls, Blue Mountain","Phawngpui National Park, Tamdil Lake, Serchhip",https://images.unsplash.com/photo-1623395797095-d9bb1862a606,#E91E63
Nagaland,North-East,Oct–May,Naga Tribal Weaving,"Hornbill Festival, Kohima War Cemetery, Dzukou Valley, Mon District","Mokokchung Cultural Center, Wokha Orchid Sanctuary, Zunheboto",https://images.unsplash.com/photo-1623395797095-d9bb1862a606,#673AB7
Tripura,North-East,Oct–Mar,Bamboo Craft,"Ujjayanta Palace, Neermahal Water Palace, Sepahijala Wildlife Sanctuary, Unakoti Rock Carvings","Jampui Hills, Pilak Archaeological Site, Dumboor Lake",https://images.unsplash.com/photo-1623395797095-d9bb1862a606,#FF9C40
Sikkim,North-East,"Mar–May, Oct–Dec",Thangka Painting,"Gangtok MG Road, Rumtek Monastery, Nathu La Pass, Tsomgo Lake","Gurudongmar Lake, Yumthang Valley, Pelling Monastery Views",https://images.unsplash.com/photo-1623395797095-d9bb1862a606,#00E676
Goa,West,Nov–Feb,Azulejo Tiles,"Baga Beach, Old Goa Churches, Dudhsagar Falls, Anjuna Flea Market","Divar Island, Chorla Ghats, Netravali Wildlife Sanctuary",https://images.unsplash.com/photo-1512343879784-a960bf40e7f2,#FF6F00
Chhattisgarh,Central,Nov–Feb,Bastar Iron Craft,"Chitrakote Falls, Bastar Tribal Culture, Barnawapara Wildlife Sanctuary, Sirpur Archaeological Site","Tirathgarh Falls, Kanger Valley National Park, Malhar Archaeological Site",https://s7ap1.scene7.com/is/image/incredibleindia/1-kutaghat-dam-bilaspur-chhattisgarh-khutaghat-attr-hero?qlt=82&ts=1727011181193,#8E24AA
Delhi,North,Oct–Mar,Mughal Miniature Painting,"Red Fort, India Gate, Qutub Minar, Lotus Temple","Agrasen Ki Baoli, Hauz Khas Village, Sunder Nursery",https://images.unsplash.com/photo-1587474260584-136574528ed5,#D32F2F
Jammu and Kashmir,North,May–Sep,Kashmiri Carpet Weaving,"Dal Lake, Gulmarg Ski Resort, Sonamarg Meadows, Amarnath Cave","Betaab Valley, Aru Valley, Dachigam National Park",https://images.unsplash.com/photo-1566837497312-7be4a63a1ab3,#1976D2
Ladakh,North,May–Sep,Ladakhi Thangka Art,"Pangong Lake, Leh Palace, Hemis Monastery, Nubra Valley","Tso Moriri Lake, Alchi Monastery, Lamayuru Moonland",https://images.unsplash.com/photo-1590391304431-bb8147f8cc0f,#0277BD
Chandigarh,North,Oct–Mar,Rock Garden Art,"Rock Garden, Rose Garden, Sukhna Lake, Capitol Complex","Pinjore Gardens, Morni Hills, Chhatbir Zoo",https://s7ap1.scene7.com/is/image/incredibleindia/chandigarh-union-territory-1-city-ff?qlt=82&ts=1726738895064,#388E3C
Puducherry,South,Oct–Mar,French Colonial Architecture,"French Quarter, Auroville, Paradise Beach, Aurobindo Ashram","Chunnambar Boat House, Karaikal Beach, Mahe Backwaters",https://images.unsplash.com/photo-1623395797095-d9bb1862a606,#F57C00
Andaman and Nicobar Islands,South,Nov–Apr,Tribal Shell Craft,"Havelock Island, Cellular Jail, Ross Island, Neil Island","Baratang Island Limestone Caves, Long Island, Cinque Island",https://www.indiantempletour.com/wp-content/uploads/2022/08/Andaman-and-Nicobar-Islands-Package-1.jpg,#00ACC1
Lakshadweep,South,Nov–Mar,Coconut Shell Craft,"Agatti Island, Bangaram Atoll, Kavaratti Lagoon, Minicoy Island","Kadmat Island, Kalpeni Atoll, Thinnakara Island",https://images.unsplash.com/photo-1623395797095-d9bb1862a606,#26C6DA
Dadra and Nagar Haveli and Daman and Diu,West,Nov–Feb,Warli Tribal Art,"Diu Fort, Nagoa Beach, Silvassa Tribal Museum, Vanganga Lake","Dudhni Lake, Hirwa Van Garden, Somnath Mahadev Temple",https://images.unsplash.com/photo-1623395797095-d9bb1862a606,#FF8A65
